experiment,policy,category,training_seed,evaluation_seed,episode,max_cycles_per_episode,max_episode_steps,success,failure,completed_cycles,at_least_one_cycle,at_least_two_cycles,at_least_three_cycles,task_return,environment_return,episode_length,dfa_transitions,reached_dfa_states,env_terminated,env_truncated,stopped_at_cycle_cap
prova_atterraggio,best_policy.pth,best,,,399,3,gym_default,0,0,0,0,0,0,0.0,-244.9449727005628,92,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,400,3,gym_default,1,0,0,0,0,0,10000.0,243.50093078066,347,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,401,3,gym_default,1,0,0,0,0,0,10000.0,294.38379734474785,348,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,402,3,gym_default,1,0,0,0,0,0,10000.0,214.38306465396107,458,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,403,3,gym_default,1,0,0,0,0,0,10000.0,220.6820983175605,521,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,404,3,gym_default,1,0,0,0,0,0,10000.0,227.59504568153272,375,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,405,3,gym_default,1,0,0,0,0,0,10000.0,266.6281326633629,326,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,406,3,gym_default,1,0,0,0,0,0,10000.0,244.90768378959905,327,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,407,3,gym_default,1,0,0,0,0,0,10000.0,236.02772243597155,338,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,408,3,gym_default,0,0,0,0,0,0,0.0,-662.124086327868,328,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,409,3,gym_default,1,0,0,0,0,0,10000.0,219.49251329519416,392,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,410,3,gym_default,0,0,0,0,0,0,0.0,-670.814438879557,299,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,411,3,gym_default,1,0,0,0,0,0,10000.0,220.87040168573492,369,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,412,3,gym_default,0,0,0,0,0,0,0.0,-458.1644508155372,825,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,413,3,gym_default,1,0,0,0,0,0,10000.0,246.12323287100836,384,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,414,3,gym_default,1,0,0,0,0,0,10000.0,243.77345280118567,469,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,415,3,gym_default,0,0,0,0,0,0,0.0,-318.5693692949844,126,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,416,3,gym_default,0,0,0,0,0,0,0.0,-454.2782162079402,458,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,417,3,gym_default,1,0,0,0,0,0,10000.0,270.8565682400732,360,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,418,3,gym_default,1,0,0,0,0,0,10000.0,265.47611610419017,351,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,419,3,gym_default,0,0,0,0,0,0,0.0,-355.54044133680645,293,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,420,3,gym_default,0,0,0,0,0,0,0.0,-649.345640361828,305,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,421,3,gym_default,1,0,0,0,0,0,10000.0,257.46654033393327,434,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,422,3,gym_default,1,0,0,0,0,0,10000.0,256.2001911243441,314,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,423,3,gym_default,1,0,0,0,0,0,10000.0,240.92473132822576,356,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,424,3,gym_default,0,0,0,0,0,0,0.0,-304.0497749499541,118,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,425,3,gym_default,0,0,0,0,0,0,0.0,-282.3822160811188,237,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,426,3,gym_default,0,0,0,0,0,0,0.0,-318.11291590206156,232,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,427,3,gym_default,1,0,0,0,0,0,10000.0,235.08208386253835,311,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,428,3,gym_default,0,0,0,0,0,0,0.0,-164.7287307730627,369,2,1|2|3,1,0,0
